text,label,clean_text,processed_text,label_encoded
"I've been saying this for quite some time, but being absent from the
net for a while I figured I'd stick my neck out a bit...

The Royals will set the record for fewest runs scored by an AL
team since the inception of the DH rule.  (p.s. any ideas what this is?)

They will fall easily short of 600 runs, that's for damn sure.  I can't
believe these media fools picking them to win the division (like our
Tom Gage of the Detroit News claiming Herk Robinson is some kind of
genius for the trades/aquisitions he's made)

c-ya

Sean

",0,"ive been saying this for quite some time but being absent from the
net for a while i figured id stick my neck out a bit

the royals will set the record for fewest runs scored by an al
team since the inception of the dh rule  ps any ideas what this is

they will fall easily short of  runs thats for damn sure  i cant
believe these media fools picking them to win the division like our
tom gage of the detroit news claiming herk robinson is some kind of
genius for the tradesaquisitions hes made

cya

sean

",ive saying quite time absent net figured id stick neck bit royal set record fewest run scored al team since inception dh rule p idea fall easily short run thats damn sure cant believe medium fool picking win division like tom gage detroit news claiming herk robinson kind genius tradesaquisitions he made cya sean,0
"Sorry for asking a question that's not entirely based on the
technical aspects of space, but I couldn't find the
answer on the FAQs !

I'm currently in the UK, which makes seeing a Space Shuttle
launch a little difficult.....

However, I have been selected to be an exchange student
at Louisiana State Uni. from August, and I am absolutely
determined to get to see a Space Shuttle launch sometime
during the year at which I will be in America.

I hear there's a bit of a long mailing list, so if someone
can tell me how to get tickets and where to get them from, then
please E-mail me !

Thanks very much for your patience....

(And if anyone else wants to know, tell me and I'll summarize
for you - just to save all those poor people who have to
pay for their links !)",1,"sorry for asking a question thats not entirely based on the
technical aspects of space but i couldnt find the
answer on the faqs 

im currently in the uk which makes seeing a space shuttle
launch a little difficult

however i have been selected to be an exchange student
at louisiana state uni from august and i am absolutely
determined to get to see a space shuttle launch sometime
during the year at which i will be in america

i hear theres a bit of a long mailing list so if someone
can tell me how to get tickets and where to get them from then
please email me 

thanks very much for your patience

and if anyone else wants to know tell me and ill summarize
for you  just to save all those poor people who have to
pay for their links ",sorry asking question thats entirely based technical aspect space couldnt find answer faq im currently uk make seeing space shuttle launch little difficult however selected exchange student louisiana state uni august absolutely determined get see space shuttle launch sometime year america hear there bit long mailing list someone tell get ticket get please email thanks much patience anyone else want know tell ill summarize save poor people pay link,1
"Giant's have a five man rotation of  John Burkett, Trevor Wilson,
Bill Swift, Jeff Brantley, and Bud Black/Dave Burba.  Black has
been put on the 15 day disables and Dave Burba will take his starts.

",0,"giants have a five man rotation of  john burkett trevor wilson
bill swift jeff brantley and bud blackdave burba  black has
been put on the  day disables and dave burba will take his starts

",giant five man rotation john burkett trevor wilson bill swift jeff brantley bud blackdave burba black put day disables dave burba take start,0
"

Lot's of these small miners  are no longer miners.  THey are people living
rent free on Federal land,  under the claim of being a miner.  The facts are
many of these people do not sustaint heir income from mining,  do not
often even live their full time,  and do fotentimes do a fair bit
of environmental damage.

These minign statutes were created inthe 1830's-1870's  when the west was
uninhabited  and were designed to bring people into the frontier.  Times change
people change.  DEAL.  you don't have a constitutional right to live off
the same industry forever.  Anyone who claims the have a right to their
job in particular,  is spouting nonsense.   THis has been a long term
federal welfare program,  that has outlived it's usefulness.",1,"

lots of these small miners  are no longer miners  they are people living
rent free on federal land  under the claim of being a miner  the facts are
many of these people do not sustaint heir income from mining  do not
often even live their full time  and do fotentimes do a fair bit
of environmental damage

these minign statutes were created inthe ss  when the west was
uninhabited  and were designed to bring people into the frontier  times change
people change  deal  you dont have a constitutional right to live off
the same industry forever  anyone who claims the have a right to their
job in particular  is spouting nonsense   this has been a long term
federal welfare program  that has outlived its usefulness",lot small miner longer miner people living rent free federal land claim miner fact many people sustaint heir income mining often even live full time fotentimes fair bit environmental damage minign statute created inthe s west uninhabited designed bring people frontier time change people change deal dont constitutional right live industry forever anyone claim right job particular spouting nonsense long term federal welfare program outlived usefulness,1
"The term ""stopper"" is generally used to refer to a pitcher, one
who can be counted on to pitch a strong game to keep his team from going
on a losing streak.

	The Braves have plenty of pitchers to fit this description,
although right now I'd expect Smoltz or Glavine to take the mantle.

	What the Braves lack, however, is an offensive stopper,
somebody they can look to to bring them out of their hitting slump.
There's just no one there.  The Braves got rid of their best pure
hitter, Lonnie Smith, and only Terry Pendleton on the current roster
has ever shown more than a cursory ability to hit.	

	Oh, and another thing that worries me.  Ron Gant seems to have
slowed down a step.  That's scary.  A slow Ron Gant doesn't have much going
for him.",0,"the term stopper is generally used to refer to a pitcher one
who can be counted on to pitch a strong game to keep his team from going
on a losing streak

	the braves have plenty of pitchers to fit this description
although right now id expect smoltz or glavine to take the mantle

	what the braves lack however is an offensive stopper
somebody they can look to to bring them out of their hitting slump
theres just no one there  the braves got rid of their best pure
hitter lonnie smith and only terry pendleton on the current roster
has ever shown more than a cursory ability to hit	

	oh and another thing that worries me  ron gant seems to have
slowed down a step  thats scary  a slow ron gant doesnt have much going
for him",term stopper generally used refer pitcher one counted pitch strong game keep team going losing streak brave plenty pitcher fit description although right id expect smoltz glavine take mantle brave lack however offensive stopper somebody look bring hitting slump there one brave got rid best pure hitter lonnie smith terry pendleton current roster ever shown cursory ability hit oh another thing worry ron gant seems slowed step thats scary slow ron gant doesnt much going,0
"


In spite of my great respect for the people you speak of, I think their
cost estimates are a bit over-optimistic. If nothing else, a working SSTO
is at least as complex as a large airliner and has a smaller experience
base. It therefore seems that SSTO development should cost at least as
much as a typical airliner development. That puts it in the $3G to $5G
range.


True it and the contest would result in a much larger market. But I
don't think it would be enough to attract the investors given the
risks involved.

If you could gurantee the SSTO costs and gurantee that it captures
100% of the available launch market, then I think you could
do it.

  Allen
",1,"


in spite of my great respect for the people you speak of i think their
cost estimates are a bit overoptimistic if nothing else a working ssto
is at least as complex as a large airliner and has a smaller experience
base it therefore seems that ssto development should cost at least as
much as a typical airliner development that puts it in the g to g
range


true it and the contest would result in a much larger market but i
dont think it would be enough to attract the investors given the
risks involved

if you could gurantee the ssto costs and gurantee that it captures
 of the available launch market then i think you could
do it

  allen
",spite great respect people speak think cost estimate bit overoptimistic nothing else working ssto least complex large airliner smaller experience base therefore seems ssto development cost least much typical airliner development put g g range true contest would result much larger market dont think would enough attract investor given risk involved could gurantee ssto cost gurantee capture available launch market think could allen,1
"Is posible to make copies of these photographs (or any other aerospace
photographs at NASM) if you pay a copyright fee?",1,"is posible to make copies of these photographs or any other aerospace
photographs at nasm if you pay a copyright fee",posible make copy photograph aerospace photograph nasm pay copyright fee,1
"Does anyone know if the Twins games are broadcast in
good ole Ames Iowa??????????????",0,"does anyone know if the twins games are broadcast in
good ole ames iowa",anyone know twin game broadcast good ole ames iowa,0
"Just curious if anyone has started to standout early in the season in the
BB DDD this year. I expect the Phillies staff, while getting the wins,
would have to rank up there. Luis Gonzalez and Derrick May are among
the early league leaders, and all 6 of their bombs have come at the
Phils' expense. Neither of them have exactly been know for their tater
prowess in the past. 

How have the Rockies been early? I know Mile High has produced a ton of 
runs, but is it the launching pad everyone expected yet? 

A concerned fan of the BB DDD,",0,"just curious if anyone has started to standout early in the season in the
bb ddd this year i expect the phillies staff while getting the wins
would have to rank up there luis gonzalez and derrick may are among
the early league leaders and all  of their bombs have come at the
phils expense neither of them have exactly been know for their tater
prowess in the past 

how have the rockies been early i know mile high has produced a ton of 
runs but is it the launching pad everyone expected yet 

a concerned fan of the bb ddd",curious anyone started standout early season bb ddd year expect phillies staff getting win would rank luis gonzalez derrick may among early league leader bomb come phils expense neither exactly know tater prowess past rockies early know mile high produced ton run launching pad everyone expected yet concerned fan bb ddd,0
"I am doing a political science paper on the funding of NASA and pork-barrel 
politics.  I would be interested in information about funding practices and
histories of some of the major programs (Apollo, STS, SSF, etc) and the
funding of SSTO to contrast.  Could someone please recommend some sources
that would be useful?  Thank you.",1,"i am doing a political science paper on the funding of nasa and porkbarrel 
politics  i would be interested in information about funding practices and
histories of some of the major programs apollo sts ssf etc and the
funding of ssto to contrast  could someone please recommend some sources
that would be useful  thank you",political science paper funding nasa porkbarrel politics would interested information funding practice history major program apollo sts ssf etc funding ssto contrast could someone please recommend source would useful thank,1
